254,OBVEZNOSTI ZA DAVKE IZ KOSMATIH PLAč IN NADOMESTIL PLAč
254000,Obveznosti za davke iz bruto plač in nadomestil plač
254100,Obveznosti za dohodnino  iz regresa
255,KRAT. OBVEZNOSTI ZA DRUGE PREJEMKE IZ DELOVNEGA RAZMERJA
255000,Obveznosti za druge prejemke iz delovnega razmerja
255300,Obveznosti za druge prejemke (regres)
255400,Obveznosti za druge prejemke (mat.nadomestila)
255410,Obveznosti za druge prejemke (prehrana)
255411,Obveznosti za druge prejemke (prehrana zasebnik)
255420,Obveznosti za druge prejemke (prevoz)
255421,Obveznosti za druge prejemke (prevoz zasebnik)
255430,Obveznosti za druge prejemke (druga nadomestila)
255440,Obveznosti za druge prejemke (dodatek po zakonu)
255500,Obveznosti za druge prejemke (založena sredstva)
255600,"Obveznosti za druge prejemke (jubileji, nagrade)"
255700,"Obveznosti za druge prejemke (štipendije, nagr.študentom)"
255800,Obveznosti za druge prejemka (neto nakazila pogodb)
256,KRAT. OBVEZNOSTI ZA PRISP. IZ DRUGIH PREJEMKOV (NE OBRAČ. S PLAčO)
256000,Obveznosti za prisp.iz drugih prejemkov (ne obrač.s plačo)
257,KRAT. OBVEZNOSTI ZA DAVEK IZ DRUGIH PREJEMKOV (NE OBRAč. S PLAčO)
257000,Obveznosti za davek iz drugih prejemkov (ne obrač.s plačo)
258,OBVEZNOSTI ZA PRISPEVKE IZPLAčEVALCA
258000,Obveznosti za prispevke izplačevalca
26,OBVEZNOSTI DO DRŽAVNIH IN DRUGIH INŠTITUCIJ
260,OBVEZNOSTI ZA OBRAčUNANI DDV
260000,Obveznosti za obračunani DDV
260010,Obveznosti za DDV od prodaje zavezancem OSNOVNA stopnja
260011,Obveznosti za DDV od prodaje končnim kupcem OSNOVNA stopnja
260012,Obveznosti za DDV iz prejetih avansov OSNOVNA stopnja
260020,Obveznosti za DDV od prodaje zavezancem ZNIŽANA stopnja
260021,Obveznosti za DDV od prodaje končnim kupcem ZNIŽANA stopnja
260022,Obveznosti za DDV iz prejetih avansov ZNIŽANA stopnja
260410,Obveznosti za DDV iz EU osnovna stopnja
260420,Obveznosti za DDV iz EU znižana stopnja
260450,Obveznosti za DDV nerezidenti osnovna stopnja
260460,Obveznosti za DDV nerezidenti znižana stopnja
260600,Obveznosti za trošarino
260700,Obveznosti za DDV po obračunu
260800,Obveznosti za plačilo DDV po obračunu
261,"OBVEZNOSTI ZA DDV, CARINO IN DR.DAJATVE OD UVOŽENEGA BLAGA"
261000,"Obveznosti za DDV, carino in dr.dajatve od uvoženega blaga"
261010,Obveznosti za DDV od uvoženega blaga OSNOVNA stopnja
261011,Obveznosti za DDV od uvoženega blaga ZNIŽANA stopnja
261100,Obveznosti za obresti dolgoročnih posojil
262,OBVEZNOSTI ZA PRISPEVKE 
262000,Obveznosti za prispevke izplačevalca
262200,Obveznosti za dodatno pokojninsko zavarovanje
263,OBVEZNOSTI ZA AKONTACIJO DOHODNINE OD DOHODKA IZ DEJAVNOSTI
263000,Obveznosti za akontacijo dohodnine od dohodka iz dejavnosti
264,OBVEZNOSTI ZA DAVEK OD DOHODKOV PRAVNIH OSEB
264000,Obveznosti za davek od dohodka pravnih oseb
265,OBVEZNOSTI ZA DAVČNI ODTEGLAJ
265000,Druge kratkoročne obveznosti do državnih in drugih inštituc.
265001,"prisp.za PIZ od sejnin, pog. dela"
265002,"Posebni davek od pog.dela, avt.honorar"
265003,"Prisp.za zdr.varstvo od pog.dela, avt.honorar"
265010,Obveznosti za davek od nepremičnin
265400,Obveznosti iz CESIJ
265410,Obveznosti za samoprispevek
265600,Obveznosti za prispevke in članarino za dopolnilno dejavnost
